Timestamp,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Usage(%)
2024-06-18 14:37:19,0.74,1.71,20, 2
2024-06-18 14:37:20,0.75,1.71,27, 2
2024-06-18 14:37:21,0.75,1.71,24, 2
2024-06-18 14:37:22,0.76,1.71,21, 2
2024-06-18 14:37:23,0.76,1.71,35, 3
2024-06-18 14:37:24,0.77,1.71,39, 3
2024-06-18 14:37:26,0.77,1.71,28, 2
2024-06-18 14:37:27,0.78,1.71,20, 2
2024-06-18 14:37:28,0.78,1.71,36, 3
2024-06-18 14:37:29,0.78,1.71,38, 3
2024-06-18 14:37:30,0.79,1.71,38, 3
2024-06-18 14:37:31,0.79,1.71,34, 3
2024-06-18 14:37:32,0.80,1.71,34, 3
2024-06-18 14:37:33,0.80,1.71,38, 3
2024-06-18 14:37:34,0.81,1.71,39, 3
2024-06-18 14:37:35,0.81,1.71,27, 3
2024-06-18 14:37:36,0.82,1.71,19, 2
2024-06-18 14:37:37,0.82,1.71,29, 3
2024-06-18 14:37:38,0.82,1.71,39, 3
2024-06-18 14:37:39,0.83,1.71,34, 3
2024-06-18 14:37:40,0.83,1.71,20, 2
2024-06-18 14:37:41,0.84,1.71,32, 3
2024-06-18 14:37:42,0.84,1.71,34, 3
2024-06-18 14:37:43,0.85,1.71,39, 3
2024-06-18 14:37:44,0.85,1.71,29, 2
2024-06-18 14:37:45,0.85,1.71,39, 3
2024-06-18 14:37:46,0.86,1.71,31, 3
2024-06-18 14:37:47,0.86,1.71,19, 2
2024-06-18 14:37:48,0.87,1.71,29, 2
2024-06-18 14:37:49,0.87,1.71,40, 3
2024-06-18 14:37:50,0.88,1.71,32, 2
2024-06-18 14:37:51,0.88,1.71,20, 2
2024-06-18 14:37:52,0.88,1.71,35, 3
2024-06-18 14:37:53,0.89,1.71,39, 3
2024-06-18 14:37:54,0.89,1.71,29, 3
2024-06-18 14:37:55,0.90,1.71,39, 3
2024-06-18 14:37:56,0.90,1.71,34, 3
2024-06-18 14:37:57,0.91,1.71,23, 2
2024-06-18 14:37:58,0.91,1.71,19, 2
2024-06-18 14:37:59,0.91,1.71,31, 3
2024-06-18 14:38:00,0.92,1.71,41, 3
2024-06-18 14:38:01,0.92,1.71,31, 3
2024-06-18 14:38:02,0.93,1.71,21, 2
2024-06-18 14:38:03,0.93,1.71,19, 2
2024-06-18 14:38:04,0.93,1.71,30, 3
2024-06-18 14:38:05,0.94,1.71,38, 3
2024-06-18 14:38:06,0.94,1.71,21, 2
2024-06-18 14:38:07,0.95,1.71,35, 3
2024-06-18 14:38:08,0.95,1.71,38, 3
2024-06-18 14:38:09,0.95,1.71,34, 3
2024-06-18 14:38:10,0.96,1.71,24, 2
2024-06-18 14:38:11,0.96,1.71,22, 2
2024-06-18 14:38:12,0.96,1.71,35, 3
2024-06-18 14:38:13,0.97,1.71,38, 3
2024-06-18 14:38:14,0.97,1.71,34, 3
2024-06-18 14:38:15,0.98,1.71,19, 2
2024-06-18 14:38:16,0.98,1.71,24, 2
2024-06-18 14:38:17,0.98,1.71,24, 2
