Timestamp,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Usage(%)
2024-06-18 14:31:06,0.00,0.00,3, 4
2024-06-18 14:31:07,0.00,0.12,0, 3
2024-06-18 14:31:08,0.02,0.81,63, 17
2024-06-18 14:31:09,0.03,0.81,63, 17
2024-06-18 14:31:10,0.05,0.81,97, 10
2024-06-18 14:31:11,0.07,0.82,97, 7
2024-06-18 14:31:12,0.09,0.82,97, 7
2024-06-18 14:31:13,0.11,0.82,98, 7
2024-06-18 14:31:15,0.13,0.82,98, 7
2024-06-18 14:31:16,0.15,0.82,97, 7
2024-06-18 14:31:17,0.17,0.82,97, 8
2024-06-18 14:31:18,0.19,0.82,96, 11
2024-06-18 14:31:19,0.21,0.82,97, 10
2024-06-18 14:31:20,0.23,0.82,97, 8
2024-06-18 14:31:21,0.25,0.82,97, 9
2024-06-18 14:31:22,0.27,0.82,96, 11
2024-06-18 14:31:23,0.29,0.82,97, 8
2024-06-18 14:31:24,0.31,0.82,97, 8
2024-06-18 14:31:25,0.32,0.82,97, 7
2024-06-18 14:31:26,0.34,0.82,96, 10
2024-06-18 14:31:27,0.36,0.82,97, 9
2024-06-18 14:31:28,0.38,0.82,97, 8
2024-06-18 14:31:29,0.39,0.82,97, 8
2024-06-18 14:31:30,0.41,0.82,97, 8
2024-06-18 14:31:31,0.43,0.82,97, 8
2024-06-18 14:31:32,0.44,0.82,97, 8
2024-06-18 14:31:33,0.46,0.82,97, 8
2024-06-18 14:31:34,0.48,0.82,97, 8
2024-06-18 14:31:35,0.49,0.82,97, 8
2024-06-18 14:31:36,0.51,0.82,97, 9
2024-06-18 14:31:37,0.52,0.82,97, 9
2024-06-18 14:31:38,0.54,0.82,97, 9
2024-06-18 14:31:39,0.55,0.82,97, 8
2024-06-18 14:31:40,0.57,0.82,97, 8
2024-06-18 14:31:41,0.58,0.82,97, 8
2024-06-18 14:31:42,0.60,0.82,97, 7
2024-06-18 14:31:43,0.61,0.82,97, 10
2024-06-18 14:31:44,0.63,0.82,97, 8
2024-06-18 14:31:45,0.64,0.82,97, 10
2024-06-18 14:31:46,0.65,0.82,98, 8
2024-06-18 14:31:47,0.67,0.82,97, 8
2024-06-18 14:31:48,0.68,0.82,97, 8
2024-06-18 14:31:49,0.69,0.82,97, 8
2024-06-18 14:31:50,0.71,0.82,97, 8
2024-06-18 14:31:51,0.72,0.82,97, 8
2024-06-18 14:31:52,0.73,0.82,97, 9
